Slide Number,Topic,Subject,Title,Category,Filename
1,Course Framing,,Last Time,Review,
2,Course Framing,,Today's Agenda,Agenda,
3,Advanced cin,Advanced cin,Advanced cin,Section Divider,
4,Advanced cin,Advanced cin,Input Beyond One Word,Opening Question,
5,Advanced cin,Advanced cin,Two Input Problems,Contrast,
6,Advanced cin,Advanced cin,Whitespace Stops Extraction,Demonstration,
7,Advanced cin,Advanced cin,Whitespace Output,Demonstration,0301whitespace.png
8,Advanced cin,Advanced cin,getline Reads the Whole Line,Demonstration,
9,Advanced cin,Advanced cin,cin and getline Conflict,Contrast,
10,Advanced cin,Advanced cin,cin.ignore Clears the Line,Demonstration,
11,Advanced cin,Advanced cin,Wrong Data Type,Error Example,
12,Advanced cin,Advanced cin,Mismatch Output,Demonstration,0301mismatch.png
13,Advanced cin,Advanced cin,Clearing a Failed Read,Demonstration,
14,Advanced cin,Advanced cin,Common Practices,Common Practice,
15,Advanced cin,Advanced cin,Summary,Summary,
16,Dates and Random Numbers,Dates and Random Numbers,Dates and Random Numbers,Section Divider,
17,Dates and Random Numbers,Dates and Random Numbers,Programs Need Changing Values,Opening Question,
18,Dates and Random Numbers,Dates and Random Numbers,Date and Time,Define,
19,Dates and Random Numbers,Dates and Random Numbers,Getting the Current Time,Demonstration,
20,Dates and Random Numbers,Dates and Random Numbers,Date Illustration,Model,
21,Dates and Random Numbers,Dates and Random Numbers,Time Variables,Define,
22,Dates and Random Numbers,Dates and Random Numbers,Time as a Number,Model,
23,Dates and Random Numbers,Dates and Random Numbers,Random Numbers,Define,
24,Dates and Random Numbers,Dates and Random Numbers,Why Random Needs a Seed,Opening Question,
25,Dates and Random Numbers,Dates and Random Numbers,Seeding with Time,Demonstration,
26,Dates and Random Numbers,Dates and Random Numbers,Generating a Random Number,Demonstration,
27,Dates and Random Numbers,Dates and Random Numbers,Limiting the Range,Boundary,
28,Dates and Random Numbers,Dates and Random Numbers,Die Roll Example,Complete Example,
29,Dates and Random Numbers,Dates and Random Numbers,Common Practices,Common Practice,
30,Dates and Random Numbers,Dates and Random Numbers,Summary,Summary,
31,IPO Models,IPO Models,IPO Models,Section Divider,
32,IPO Models,IPO Models,"Before Code, Name the Shape",Opening Question,
33,IPO Models,IPO Models,What Is an IPO Model?,Define,
34,IPO Models,IPO Models,Input,Anatomy,
35,IPO Models,IPO Models,Processing,Anatomy,
36,IPO Models,IPO Models,Output,Anatomy,
37,IPO Models,IPO Models,A Small IPO Table,Demonstration,
38,IPO Models,IPO Models,From IPO to Variables,Connect,
39,IPO Models,IPO Models,Common Practices,Common Practice,
40,IPO Models,IPO Models,Date and Time IPO,Transfer,
41,IPO Models,IPO Models,Date and Time Variables,Demonstration,
42,IPO Models,IPO Models,Random Number IPO,Transfer,
43,IPO Models,IPO Models,Random Number Variables,Demonstration,
44,IPO Models,IPO Models,Summary,Summary,
45,Execution Trace Models,Execution Trace Models,Execution Trace Models,Section Divider,
46,Execution Trace Models,Execution Trace Models,"Follow the Program, One Line at a Time",Opening Question,
47,Execution Trace Models,Execution Trace Models,What Is an Execution Trace?,Define,
48,Execution Trace Models,Execution Trace Models,Trace Columns,Anatomy,
49,Execution Trace Models,Execution Trace Models,Simple Assignment Trace,Trace,
50,Execution Trace Models,Execution Trace Models,Output in a Trace,Demonstration,
51,Execution Trace Models,Execution Trace Models,Input in a Trace,Demonstration,
52,Execution Trace Models,Execution Trace Models,Trace vs. IPO,Contrast,
53,Execution Trace Models,Execution Trace Models,Date and Time Trace,Trace,
54,Execution Trace Models,Execution Trace Models,Random Number Trace,Trace,
55,Execution Trace Models,Execution Trace Models,Common Practices,Common Practice,
56,Execution Trace Models,Execution Trace Models,Summary,Summary,
57,Terminal Charts and Graphs,Terminal Charts and Graphs,Terminal Charts and Graphs,Section Divider,
58,Terminal Charts and Graphs,Terminal Charts and Graphs,When Output Becomes a Display,Opening Question,
59,Terminal Charts and Graphs,Terminal Charts and Graphs,Chart as Design Problem,Decision Point,
60,Terminal Charts and Graphs,Terminal Charts and Graphs,Bar Charts With Characters,Define,
61,Terminal Charts and Graphs,Terminal Charts and Graphs,One Bar by Hand,Demonstration,
62,Terminal Charts and Graphs,Terminal Charts and Graphs,Several Bars by Repetition,Demonstration,
63,Terminal Charts and Graphs,Terminal Charts and Graphs,Tables as Charts,Connect,
64,Terminal Charts and Graphs,Terminal Charts and Graphs,A Small Sales Display,Complete Example,
65,Terminal Charts and Graphs,Terminal Charts and Graphs,Common Practices,Common Practice,
66,Terminal Charts and Graphs,Terminal Charts and Graphs,Summary,Summary,
67,Course Wrap-Up,,Key Takeaways,Summary,
68,Course Wrap-Up,,Next Time,Progression Map,
69,Appendix,,Appendix,Section Divider,
70,Advanced cin,Advanced cin,Advanced cin: Good Practices,Appendix - Good Practices,
71,Advanced cin,Advanced cin,Advanced cin: Common Mistakes,Appendix - Common Mistakes,
72,Advanced cin,Advanced cin,Advanced cin: More Examples,Appendix - More Examples,
73,Advanced cin,Advanced cin,Advanced cin: Practice Problems,Appendix - Practice,
74,Advanced cin,Advanced cin,Advanced cin: AI Search Terms,Appendix - AI Search Terms,
75,Advanced cin,Advanced cin,Advanced cin: Questions for Reflection,Appendix - Reflection,
76,Dates and Random Numbers,Dates and Random Numbers,Dates and Random Numbers: Good Practices,Appendix - Good Practices,
77,Dates and Random Numbers,Dates and Random Numbers,Dates and Random Numbers: Common Mistakes,Appendix - Common Mistakes,
78,Dates and Random Numbers,Dates and Random Numbers,Dates and Random Numbers: More Examples,Appendix - More Examples,
79,Dates and Random Numbers,Dates and Random Numbers,Dates and Random Numbers: Practice Problems,Appendix - Practice,
80,Dates and Random Numbers,Dates and Random Numbers,Dates and Random Numbers: AI Search Terms,Appendix - AI Search Terms,
81,Dates and Random Numbers,Dates and Random Numbers,Dates and Random Numbers: Questions for Reflection,Appendix - Reflection,
82,IPO Models,IPO Models,IPO Models: Good Practices,Appendix - Good Practices,
83,IPO Models,IPO Models,IPO Models: Common Mistakes,Appendix - Common Mistakes,
