Date,Topic,Body of the Announcement
8/22/26,Welcome to CISP 360 Structured Programming in C++,"Welcome to CISP 360 Structured Programming in C++! In this course, you will learn the fundamental principles of structured programming and develop programs using C++. The course tempo will revolve around our face-to-face classes on Mondays and Wednesdays, which I will stream and record. This schedule ensures that online students have access to the most up-to-date digital artifacts possible. I look forward to working with you as you build your programming skills throughout the semester."
August 24 2026,Student Discord Server,"Students commonly set up a Discord server to communicate and help build a sense of community outside of class. I invite you to create one for CISP 360 if you would find it useful. I will not manage the server, but I will help publish the invitation link to the class. Once the server is ready, send me the link you would like me to publish."
August 28 2026,Toolset Test Due This Weekend,"Reminder: The Toolset Test is due this Sunday, August 30, by 11:59 p.m. Please complete and submit it through Canvas before the deadline."
December 11 2026,Final Programming Assignment Due Soon,"Reminder: The Final Programming Assignment is due Thursday, December 17. This assignment cannot be submitted late, so please plan ahead and submit your completed work through Canvas by the deadline."
November 13 2026,Homework 6 Due This Weekend,"Reminder: Homework 6 is due this Sunday, November 15. Please complete and submit it through Canvas before the deadline."
November 27 2026,Homework 7 Due This Weekend,"Reminder: Homework 7 is due this Sunday, November 29. Please complete and submit it through Canvas before the deadline."
October 16 2026,Homework 4 Due This Weekend,"Reminder: Homework 4 is due this Sunday, October 18. Please complete and submit it through Canvas before the deadline."
October 2 2026,Homework 3 Due This Weekend,"Reminder: Homework 3 is due this Sunday, October 4. Please complete and submit it through Canvas before the deadline."
October 30 2026,Homework 5 Due This Weekend,"Reminder: Homework 5 is due this Sunday, November 1. Please complete and submit it through Canvas before the deadline."
September 11 2026,Homework 1 Due This Weekend,"Reminder: Homework 1 is due this Sunday, September 13, by 11:59 p.m. Please complete and submit it through Canvas before the deadline."
September 12 2026,What to Do About High Plagiarism Scores,"Any plagiarism score above 50% is a cause for action. You do not need to rewrite your code simply to obtain a lower score. However, you do need to research the plagiarism report, identify the areas of overlap, and comment on what you found. Include those comments with your homework submission when you turn it in."
September 18 2026,Homework 2 Due This Weekend,"Reminder: Homework 2 is due this Sunday, September 20. Please complete and submit it through Canvas before the deadline."
September 4 2026,Early Coding Check Due This Weekend,"Reminder: The Early Coding Check is due this Sunday, September 6, by 11:59 p.m. Please complete and submit it through Canvas before the deadline."
